,ID,tips,convex_hull_area,solidity,perimeter,width,height
0,P0823_16,11,585077.5,0.2867910661408104,10372.214208364487,820,1032
0,P0824_16,12,828962.0,0.22621302303362517,13466.857117056847,1000,1140
0,P0825_16,11,318507.0,0.24442162966591002,7033.473758816719,962,498
0,P0826_16,11,900535.5,0.21204494436921142,16695.78722989559,949,1165
0,P0827_16,10,504604.5,0.2951935624830932,11674.38058423996,774,918
0,P0828_16,11,988298.5,0.16618460920460773,13269.3276014328,1028,1165
0,P0829_16,13,581740.0,0.2641712792656513,9725.71275806427,998,917
0,P0830_16,11,518238.5,0.27433893853891594,11341.62524819374,783,934
0,P0831_16,11,764786.0,0.2210029995318952,12581.470287919044,852,1048
0,P0832_16,10,754869.5,0.2082624877545059,12564.24313902855,994,1137
0,P0833_16,10,501295.0,0.2307663152435193,9552.107205748558,920,916
0,P0834_16,11,732174.5,0.2185585540059098,12197.917839288712,980,1100
0,P0835_16,13,721839.0,0.19661586586482582,12563.741188645363,916,1156
0,P0836_16,12,647296.5,0.24295512180275963,11407.23965203762,891,1055
0,P0837_16,9,747855.5,0.2273567554159861,11119.937077879906,995,1002
0,P0838_16,12,954753.0,0.22010195307058475,13670.67335152626,992,1152
0,P0839_16,11,571960.0,0.2695555633261067,11476.942884087563,899,822
0,P0840_16,11,533254.5,0.22976458707802747,10200.089317917824,916,860
0,P0841_16,12,813956.0,0.1960781663873723,12847.470970273018,1028,1024
0,P0842_16,11,315604.5,0.3346340118724543,9014.195442199707,827,652
0,P0843_16,9,804868.5,0.20140805609860493,10936.134712219238,1006,1110
0,P0844_16,12,796044.5,0.21203211629500612,12893.73431456089,1028,944
0,P0845_16,10,785217.0,0.21156444651605863,11935.126306891441,928,1120
0,P0846_16,13,585408.0,0.2416861402645676,11751.635561227798,889,940
0,P0847_16,10,583664.5,0.25468398369268647,9562.033407211304,790,1165
0,P0848_16,11,530378.0,0.2678787581687023,10491.11921453476,902,784
0,P0849_16,11,875237.5,0.21465830703094874,13724.44364452362,994,1111
0,P0850_16,13,773176.0,0.2246474282698894,13341.262151122093,1028,1042
0,P0851_16,11,531941.5,0.22824314327797324,9554.136021971703,897,840
0,P0852_16,9,585547.5,0.1927068256631614,9911.915657043457,994,794
0,P0853_16,11,700746.5,0.21457831041610625,11401.446378469467,916,1074
0,P0854_16,11,805454.0,0.20267699955553017,13307.831354737282,1022,1131
0,P0855_16,10,912378.0,0.19502004651580815,15229.326004624367,1028,1165
0,P0856_16,8,524313.0,0.22038553306898742,6947.851394534111,820,851
0,P0857_16,11,721868.0,0.259791263776757,13753.378835558891,1015,974
0,P0858_16,10,756266.5,0.22068014383818402,11204.044723391533,897,1165
0,P0859_16,11,646082.0,0.22765840868496567,11156.255838513374,1028,911
0,P0860_16,11,560788.5,0.2752998679537829,10253.655771493912,1028,694
0,P0861_16,9,481336.0,0.25354014659198565,7995.734569549561,866,704
0,P0862_16,11,678079.5,0.23243292268826884,12891.902659893036,996,887
0,P0863_16,12,890628.5,0.22553511368657078,14863.68158686161,1028,1092
0,P0864_16,11,551942.5,0.23250247987788583,9971.253750562668,1009,794
0,P0865_16,7,502848.5,0.2139889052070355,8247.853073716164,860,1009
0,P0866_16,12,507414.5,0.2928631326065771,10321.108650803566,903,788
0,P0867_16,8,440346.0,0.17240533580411768,7074.836237549782,915,770
0,P0868_16,12,789778.0,0.23341116111109705,14710.80827987194,1028,957
0,P0869_16,11,928517.0,0.21981503838917327,14648.076439142227,1028,1165
0,P0870_16,15,545539.5,0.23882230342624136,11160.004227161407,1004,800
0,P0871_16,10,417929.5,0.25715581216449185,10260.022007107735,784,709
